"","encuestadora_comisionado","trabajo_campo","muestra","participacion","ERC–Sobiranistes","PSC","ECP","JxCat","PP","CUP","Vox","Cs","Junts","PDeCAT","v1x2","last_day","fuente","titular","urlDW"
"1","GESOP/CEO","13 Oct–7 Nov 2020",2000,68,23.9,21.7,12.5,NA,8.4,5.3,6.7,4.6,"12.2","1.5","2.2",2020-11-07,"http://upceo.ceo.gencat.cat/wsceop/7808/Dossier%20de%20premsa%20-985.pdf","""Baròmetre d'Opinió Política. 3a onada 2020""","<a href= https://en.wikipedia.org/wiki/Sub-national_opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                      text-decoration: underline""> GESOP/CEO </a>"
"2","GESOP/CEO","29 Sep–9 Oct 2020",1500,68,22.7,21.9,12.9,13.7,8,4.7,7.1,4.7,NA,NA,"0.8",2020-10-09,"http://upceo.ceo.gencat.cat/wsceop/7768/Dossier%20de%20premsa%20-979.pdf","""Enquesta Sociopolítica. 2020""","<a href= https://en.wikipedia.org/wiki/Sub-national_opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                      text-decoration: underline""> GESOP/CEO </a>"
"3","GESOP/CEO","25 Jun–21 Jul 2020",2000,68,22.1,21.5,14.3,13.4,7.8,5.9,6.6,5,NA,NA,"0.6",2020-07-21,"http://upceo.ceo.gencat.cat/wsceop/7688/Dossier%20de%20premsa%20-974.pdf","""Baròmetre d'Opinió Política. 2a onada 2020""","<a href= https://en.wikipedia.org/wiki/Sub-national_opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                      text-decoration: underline""> GESOP/CEO </a>"
"4","GESOP/CEO","10 Feb–9 Mar 2020",2000,68,22.9,21.7,14.6,12.7,8.6,5.8,6.8,3.3,NA,NA,"1.2",2020-03-09,"http://upceo.ceo.gencat.cat/wsceop/7548/Dossier%20de%20premsa%20-962.pdf","""Baròmetre d'Opinió Política. 1a onada 2020""","<a href= https://en.wikipedia.org/wiki/Sub-national_opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                      text-decoration: underline""> GESOP/CEO </a>"
"5","GESOP/CEO","14 Nov–5 Dec 2019",1500,68,23.2,19.6,14.3,13.8,8.1,7.2,6.8,3.7,NA,NA,"3.6",2019-12-05,"http://upceo.ceo.gencat.cat/wsceop/7408/Dossier%20de%20premsa%20-954.pdf","""Baròmetre d'Opinió Política. 3a onada 2019""","<a href= https://en.wikipedia.org/wiki/Sub-national_opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                      text-decoration: underline""> GESOP/CEO </a>"
